abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,print_section,print_page,subsection_name,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization
"Scaremongering in Michigan, an ad claims that the vice president wants to “end all gas-powered cars” and that her policies would lead to “massive layoffs.”",https://www.nytimes.com/2024/10/01/us/politics/trump-ad-electric-vehicles.html,"Scaremongering in Michigan, an ad claims that the vice president wants to “end all gas-powered cars” and that her policies would lead to “massive layoffs.”","Former President Donald J. Trump’s campaign is running this 30-second ad about jobs and the economy in seven television markets in Michigan, spending $952,462 so far, according to AdImpact. The ad denounces Vice President Kamala Harris on a key topic in a state where the auto industry is politically dominant: the rise of electric vehicles.",The New York Times,,,2024-10-01T19:28:59+0000,article,Politics,U.S.,News,nyt://article/4971a803-60c8-523a-a431-7d1b6e3f9bdc,628,nyt://article/4971a803-60c8-523a-a431-7d1b6e3f9bdc,NA,NA,Politics,Inside a Trump Ad Slamming Harris Over the Push for Electric Vehicles,NA,NA,,NA,NA,NA,By Maggie Haberman,,NA
"Mr. Walz taught at a high school in China as part of a program sending American teachers abroad, but he did not actually travel to the country until August 1989.",https://www.nytimes.com/2024/10/01/us/politics/tim-walz-hong-kong-tiananmen.html,"Mr. Walz taught at a high school in China as part of a program sending American teachers abroad, but he did not actually travel to the country until August 1989.","Repeatedly over the years, Gov. Tim Walz of Minnesota has said that the year he spent teaching in China began with a trip to Hong Kong during the pro-democracy protests in the spring of 1989 that culminated in the deadly crackdown that June in Tiananmen Square in Beijing.",The New York Times,,,2024-10-01T20:22:40+0000,article,Politics,U.S.,News,nyt://article/a8d862e7-db1e-53d7-8473-bbfc5bfc7c7a,1170,nyt://article/a8d862e7-db1e-53d7-8473-bbfc5bfc7c7a,NA,NA,Politics,Tim Walz Said He Was in Hong Kong in 1989 During Tiananmen. Not True.,NA,NA,,NA,NA,NA,By Danny Hakim and Amy Qin,,NA
He was the patriarch in one of the first sitcoms with an all-Black cast and an enslaved African in the American South in a blockbuster TV mini-series.,https://www.nytimes.com/2024/10/01/arts/john-amos-dead.html,He was the patriarch in one of the first sitcoms with an all-Black cast and an enslaved African in the American South in a blockbuster TV mini-series.,"John Amos, who played a stern patriarch on “Good Times,” America’s first sitcom featuring a two-parent Black family, and who had a starring role in “Roots,” the slavery narrative that became America’s most watched show in the late 1970s, has died in Los Angeles. He was 84.",The New York Times,,,2024-10-01T20:36:29+0000,article,Obits,Arts,Obituary (Obit),nyt://article/6a7fe026-e9ea-53c1-9e91-770bec521888,1301,nyt://article/6a7fe026-e9ea-53c1-9e91-770bec521888,B,12,NA,"John Amos, a Star of ‘Good Times’ and ‘Roots,’ Is Dead at 84",NA,NA,"John Amos, 84, Actor Who Starred in ‘Roots’ And ‘Good Times,’ Dies",NA,NA,NA,By Ash Wu,,NA
This is not the first time that the former president has clashed with the country’s most popular television news program.,https://www.nytimes.com/2024/10/01/business/media/trump-cbs-60-minutes.html,This is not the first time that the former president has clashed with the country’s most popular television news program.,CBS News said on Tuesday that former President Donald J. Trump had declined to participate in an interview with “60 Minutes” that would have been broadcast during a prime-time election special next week.,The New York Times,,,2024-10-01T22:04:56+0000,article,Business,Business Day,News,nyt://article/9725d276-2532-58bc-99cf-283aedb6f2fa,311,nyt://article/9725d276-2532-58bc-99cf-283aedb6f2fa,NA,NA,Media,CBS Says Trump Will Not Participate in ‘60 Minutes’ Interview,NA,NA,,NA,NA,NA,By Michael M. Grynbaum,,NA
President Donald J. Trump criticized President Biden’s leadership and insisted again he would have prevented the crisis in the Middle East had he won in 2020.,https://www.nytimes.com/2024/10/01/us/politics/trump-speech-wisconsin.html,President Donald J. Trump criticized President Biden’s leadership and insisted again he would have prevented the crisis in the Middle East had he won in 2020.,"Hours before the vice-presidential debate on Tuesday, former President Donald J. Trump traveled to Wisconsin and gave two rambling speeches laden with tangents, largely jettisoning any particular focus as he boasted about negotiating over the cost of a new Air Force One and lamented that a 1987 Vietnam War movie had not won an Academy Award.",The New York Times,,,2024-10-01T22:23:03+0000,article,Politics,U.S.,News,nyt://article/642d825e-a45c-57d8-a902-88968db3127e,1052,nyt://article/642d825e-a45c-57d8-a902-88968db3127e,NA,NA,Politics,"In a Pair of Disjointed Events, Trump Talks Gaza, Migrants and ‘Full Metal Jacket’",NA,NA,,NA,NA,NA,By Michael Gold and Dan Simmons,,NA
The columnist weighs in on Iran’s retaliatory strike against Israel and what comes next.,https://www.nytimes.com/2024/10/01/opinion/thomas-friedman-iran-israel.html,The columnist weighs in on Iran’s retaliatory strike against Israel and what comes next.,"Thomas Friedman, an Opinion columnist and Middle East correspondent, is keenly aware of the many red lines that have been crossed in the growing conflict between Israel, Iran and Hezbollah. He says, after Iran’s latest attack on Israel, anything is possible — from symbolic retaliation to the bombing of a nuclear facility. Hear why he believes that “this really is the most dangerous moment in the modern Middle East.”",The New York Times,,,2024-10-01T23:01:24+0000,article,OpEd,Opinion,Op-Ed,nyt://article/4a4bf89b-d98e-5030-aaae-2a17aa8c6688,213,nyt://article/4a4bf89b-d98e-5030-aaae-2a17aa8c6688,NA,NA,NA,Thomas Friedman: ‘This Is Code Red Time in the Middle East’,NA,NA,,NA,NA,NA,By Thomas L. Friedman and Alison Bruzek,,NA
See how the vice presidential candidates used their speaking time to discuss the issues or criticize their opponent.,https://www.nytimes.com/interactive/2024/10/01/us/elections/vance-walz-attacks-vp-debate.html,See how the vice presidential candidates used their speaking time to discuss the issues or criticize their opponent.,See how the vice presidential candidates used their speaking time to discuss the issues or criticize their opponent.,The New York Times,,,2024-10-01T23:37:27+0000,multimedia,Graphics,U.S.,Interactive Feature,nyt://interactive/27bd0453-432f-52cd-9f73-3bf0aa93fd62,0,nyt://interactive/27bd0453-432f-52cd-9f73-3bf0aa93fd62,NA,NA,Elections,Tracking Attacks in the Vance-Walz Debate,NA,NA,,NA,NA,NA,"By Lily Boyce, Jon Huang, June Kim, K.K. Rebecca Lai, Blacki Migliozzi, Albert Sun and Christine Zhang",,NA
"At one facility, the body of an inmate, possibly strangled in his cell, was so decomposed that the coroner concluded he had been dead for two days without being discovered.",https://www.nytimes.com/2024/10/01/us/politics/georgia-prison-conditions-unsafe.html,"At one facility, the body of an inmate, possibly strangled in his cell, was so decomposed that the coroner concluded he had been dead for two days without being discovered.","A Justice Department investigation into Georgia’s state prison system found conditions that violate the Constitution, including rampant violence, sexual assault, drug smuggling and gang activity, according to a report released on Tuesday.",The New York Times,,,2024-10-01T23:45:41+0000,article,Washington,U.S.,News,nyt://article/0c9b9058-ed7d-5eee-8c47-e032a32406db,750,nyt://article/0c9b9058-ed7d-5eee-8c47-e032a32406db,A,14,Politics,"Conditions at Georgia Prisons Violate Constitution, Justice Dept. Says",NA,NA,"In Georgia, A Report On Prisons Cites Faults",NA,NA,NA,By Glenn Thrush,,NA
He’s making a case for Trump’s record far more effectively than Trump has ever been capable of doing.,https://www.nytimes.com/2024/09/25/opinion/vance-winning-debate.html,He’s making a case for Trump’s record far more effectively than Trump has ever been capable of doing.,The first half of the vice-presidential debate has been the strongest illustration in this campaign so far of why it made sense for Donald Trump to pick JD Vance as his running mate. The Ohio senator is delivering one of the best debating performances by a Republican nominee for president or vice president in recent memory and making a case for Trump’s record far more effectively than Trump has ever been capable of doing.,The New York Times,,,2024-10-02T02:06:58+0000,article,OpEd,Opinion,News,nyt://article/4fee7a5d-1f87-5c0b-8195-800f757b114a,288,nyt://article/4fee7a5d-1f87-5c0b-8195-800f757b114a,NA,NA,NA,Vance’s Dominant Debate Performance Shows Why He’s Trump’s Running Mate,NA,NA,,NA,NA,NA,By Ross Douthat,,NA
"As Hurricane Helene made climate change an early focus of the vice-presidential debate, the running mates quickly demonstrated the stark differences between the parties on the issue.",https://www.nytimes.com/2024/10/01/us/politics/vance-walz-debate-hurricane-climate.html,"As Hurricane Helene made climate change an early focus of the vice-presidential debate, the running mates quickly demonstrated the stark differences between the parties on the issue.","The devastation that Hurricane Helene wreaked across the South last week thrust the issue of climate change to the forefront of the vice-presidential debate early in its first hour, quickly demonstrating how the two major parties diverge when it comes to the threat posed by climate change.",The New York Times,,,2024-10-02T02:11:05+0000,article,Politics,U.S.,News,nyt://article/e67183c8-32a4-5036-8a7f-596a65e63c88,334,nyt://article/e67183c8-32a4-5036-8a7f-596a65e63c88,NA,NA,Politics,Exchange Between Vance and Walz Shows Gulf on Climate Change Views,NA,NA,,NA,NA,NA,By Nick Corasaniti,,NA
"At the vice-presidential debate, Gov. Tim Walz tried to dismiss a previous misstatement as insignificant and said he could be “a knucklehead at times.”",https://www.nytimes.com/2024/10/01/us/politics/walz-debate-hong-kong-tiananmen-square.html,"At the vice-presidential debate, Gov. Tim Walz tried to dismiss a previous misstatement as insignificant and said he could be “a knucklehead at times.”","Asked by a debate moderator on Tuesday why Gov. Tim Walz of Minnesota had said that he was in Hong Kong during the Tiananmen Square massacre in June of 1989, when he had in reality been in his home state of Nebraska, Mr. Walz said he was “a knucklehead at times.”",The New York Times,,,2024-10-02T02:37:57+0000,article,Politics,U.S.,News,nyt://article/362c822e-169d-597e-b73a-188827e1d61b,479,nyt://article/362c822e-169d-597e-b73a-188827e1d61b,NA,NA,Politics,Walz Says He ‘Misspoke’ About Being in Hong Kong During Tiananmen Square Protests,NA,NA,,NA,NA,NA,By Kellen Browning,,NA
"During Tuesday’s vice-presidential debate, JD Vance clashed with a moderator over whether the ground rules allowed her to clarify his comments about immigrants in his home state.",https://www.nytimes.com/2024/10/01/us/politics/cbs-debate-fact-checking-vance.html,"During Tuesday’s vice-presidential debate, JD Vance clashed with a moderator over whether the ground rules allowed her to clarify his comments about immigrants in his home state.",It was a fact-checking flashpoint.,The New York Times,,,2024-10-02T02:48:09+0000,article,Politics,U.S.,News,nyt://article/124c62b5-d80e-56e5-bca3-e77423b6f806,364,nyt://article/124c62b5-d80e-56e5-bca3-e77423b6f806,NA,NA,Politics,CBS Sought the Middle Ground on Fact-Checking. Vance Jumped Into the Gap.,NA,NA,,NA,NA,NA,By Michael M. Grynbaum,,NA
Harris’s running mate missed multiple opportunities to demonstrate how Trump and his running mate are unfit for office.,https://www.nytimes.com/2024/09/25/opinion/walz-vance-debate-loser.html,Harris’s running mate missed multiple opportunities to demonstrate how Trump and his running mate are unfit for office.,"JD Vance has always had the ability to switch on and off the outrageousness, to sound reasonable, to paper over a bitter and hollow core with a velvet patter learned at Yale and in countless television appearances. That was the version of himself that he presented to a national audience at the debate on Tuesday night, and it was a world away from how he sounds when campaigning in front of MAGA crowds.",The New York Times,,,2024-10-02T03:12:04+0000,article,OpEd,Opinion,News,nyt://article/e6038f02-ffdd-5d15-a5a9-74deda81546a,527,nyt://article/e6038f02-ffdd-5d15-a5a9-74deda81546a,NA,NA,NA,Walz Failed to Expose Vance’s Debate Masquerade,NA,NA,,NA,NA,NA,By David Firestone,,NA
